id,duration,country
tt0018795,92,USA
tt0018806,98,USA
tt0018826,87,France
tt0018836,80,USA
tt0018839,76,USA
tt0018841,64,Soviet Union
tt0018862,90,Soviet Union
tt0018876,100,UK
tt0018879,88,USA
tt0018882,63,USA
tt0018907,100,USA
tt0018908,81,USA
tt0018909,100,USA
tt0018910,60,USA
tt0018927,79,USA
tt0018935,107,Germany
tt0018937,78,USA
tt0018972,80,USA
tt0018990,78,Germany
tt0018996,95,UK
tt0019043,74,Japan
tt0019067,78,USA
tt0019071,88,USA
tt0019074,73,USA
tt0019096,57,USA
tt0019098,80,USA
tt0019109,69,USA
tt0019127,102,France
tt0019130,110,USA
tt0019151,66,USA
tt0019152,72,USA
tt0019182,75,USA
tt0019186,137,UK
tt0019195,96,USA
tt0019237,85,USA
tt0019254,110,France
tt0019258,78,USA
tt0019286,127,Soviet Union
tt0019290,62,USA
tt0019304,84,USA
tt0019325,68,USA
tt0019344,97,USA
tt0019374,97,India
tt0019379,83,USA
tt0019388,105,USA
tt0019400,80,USA
tt0019412,85,USA
tt0019415,178,Germany
tt0019421,70,USA
tt0019429,102,USA
tt0019434,93,USA
tt0019451,102,USA
tt0019462,69,USA
tt0019480,87,France
tt0019489,87,USA
tt0019509,84,UK
tt0019532,90,USA
tt0019553,94,USA
tt0019557,86,USA
tt0019558,113,USA
tt0019563,65,USA
tt0019571,66,USA
tt0019574,88,USA
tt0019585,95,USA
tt0019591,98,USA
tt0019609,82,Germany
tt0019611,68,Soviet Union
tt0019629,57,Spain
tt0019630,91,USA
tt0019644,80,USA
tt0019646,195,France
tt0019649,90,Soviet Union
tt0019655,90,Germany
tt0019658,87,UK
tt0019684,91,USA
tt0019690,75,USA
tt0019699,93,USA
tt0019702,85,UK
tt0019725,104,USA
tt0019726,86,USA
tt0019729,100,USA
tt0019735,90,USA
tt0019745,82,USA
tt0019746,92,France
tt0019777,96,USA
tt0019785,86,USA
tt0019788,76,USA
tt0019796,70,Japan
tt0019798,115,USA
tt0019800,75,USA
tt0019811,62,USA
tt0019815,97,USA
tt0019823,90,USA
tt0019824,99,USA
tt0019843,129,USA
tt0019850,85,Czechoslovakia
tt0019852,71,USA
tt0019856,87,USA
tt0019884,110,USA
tt0019886,100,USA
tt0019889,50,UK
tt0019901,156,Germany
tt0019909,90,Germany
tt0019929,82,USA
tt0019933,95,USA
tt0019935,113,USA
tt0019936,101,USA
tt0019945,72,USA
tt0019946,92,USA
tt0019949,69,USA
tt0019957,68,USA
tt0019959,109,USA
tt0019976,68,USA
tt0019979,70,USA
tt0019983,63,USA
tt0019992,73,USA
tt0019993,130,USA
tt0020004,60,USA
tt0020011,66,Germany
tt0020014,80,USA
tt0020018,95,USA
tt0020025,83,UK
tt0020030,95,USA
tt0020034,93,USA
tt0020062,62,USA
tt0020075,165,Norway
tt0020078,60,USA
tt0020080,89,USA
tt0020081,94,USA
tt0020092,65,USA
tt0020103,74,USA
tt0020112,107,USA
tt0020114,71,USA
tt0020122,100,USA
tt0020126,95,USA
tt0020142,110,UK
tt0020143,111,USA
tt0020144,80,USA
tt0020163,73,Germany
tt0020166,60,USA
tt0020182,223,France
tt0020193,121,Germany
tt0020197,80,USA
tt0020198,95,USA
tt0020210,77,USA
tt0020217,82,USA
tt0020223,135,USA
