id,rating,votes,avg_0-18,num_0-18,avg_18-30,num_18-30,avg_30-45,num_30-45,avg_45up,num_45up
tt0048256,2.1,826,0,0,1.8,85,1.8,412,2.5,317
tt0048259,5.7,350,0,0,6.3,7,5.6,64,5.7,271
tt0048260,6.3,742,0,0,6.3,22,6.2,174,6.3,533
tt0048261,7.6,12164,7.5,4,7.6,1643,7.6,5932,7.6,4311
tt0048266,7.3,253,0,0,7.5,26,7.6,125,6.4,94
tt0048272,7.1,1586,8,2,7.1,283,7.1,775,7,480
tt0048275,7.7,726,8,1,7.7,175,7.8,374,7.5,159
tt0048279,5.6,291,0,0,5.2,17,5.3,90,5.8,177
tt0048280,7.2,56155,7.1,96,7.1,18954,7.1,26231,7.4,8018
tt0048281,7.7,16911,7.9,7,7.6,2276,7.5,7786,7.9,6444
tt0048283,6.6,2433,0,0,6.6,135,6.5,823,6.7,1419
tt0048287,6.4,451,0,0,6.6,9,5.9,67,6.5,364
tt0048289,6.4,753,0,0,6.1,17,6.4,177,6.4,541
tt0048291,6.5,1530,0,0,6.4,50,6.3,412,6.6,1032
tt0048294,5.4,95,0,0,4.9,6,5.5,24,5.4,64
tt0048295,6.9,154,0,0,6.8,11,7,47,6.9,94
tt0048301,6,108,0,0,7.7,3,5.8,20,6,84
tt0048304,6,112,0,0,5.6,8,5.7,34,6.3,67
tt0048308,7.3,3235,6,1,7.7,421,7.3,1559,7.1,1194
tt0048310,6.8,590,0,0,6.5,29,6.6,130,6.9,414
tt0048312,7.2,1459,0,0,7.6,68,6.9,376,7.2,984
tt0048314,6.1,100,0,0,4.5,2,6.7,17,6.1,79
tt0048315,6.5,186,0,0,7,3,6.5,33,6.5,144
tt0048316,6.4,2455,0,0,6.2,162,6.1,755,6.6,1476
tt0048317,7.1,2008,0,0,7,108,7,631,7.1,1219
tt0048318,6.2,208,0,0,5.8,4,6.2,35,6.2,158
tt0048319,6,79,0,0,6.5,4,5.9,43,6,28
tt0048321,6.2,86,0,0,4,3,6.2,25,6.3,56
