id,votes,rating,avg_0-18,num_0-18,avg_18-30,num_18-30,avg_30-45,num_30-45,avg_45up,num_45up
tt0047388,718,6.8,0,0,6.6,27,6.7,123,6.9,429
tt0047389,218,6.1,0,0,8.5,5,6,25,6.1,156
tt0047396,410462,8.4,8.7,253,8.5,85782,8.4,154443,8.6,60095
tt0047397,115,6.8,0,0,7.6,8,8,28,5.5,56
tt0047400,274,6.1,0,0,7.2,9,6.2,61,6,145
tt0047401,151,6.4,0,0,5.4,10,6.3,35,6.6,77
tt0047406,156,4.5,0,0,4.5,2,5.1,25,4.5,100
tt0047408,866,6.2,0,0,6.6,50,6.4,240,6.1,389
tt0047411,884,6.9,0,0,7.1,34,6.7,197,6.8,458
tt0047413,850,6.5,0,0,6.4,23,6.5,179,6.5,493
tt0047416,303,5.3,0,0,5.8,4,5.5,63,5.2,163
tt0047417,1484,7,0,0,7.2,134,6.9,531,7,581
tt0047422,9685,6.6,8.7,3,6.6,934,6.4,3055,6.8,3554
tt0047424,781,6.7,0,0,6.5,15,6.5,158,6.8,428
tt0047427,177,6.6,0,0,7.2,10,6.4,54,6.8,79
tt0047429,357,5.7,0,0,5.7,11,5.5,57,5.7,218
tt0047432,516,6.7,0,0,6.2,36,6.7,138,6.9,232
tt0047434,460,6.3,0,0,7,8,5.9,60,6.3,294
tt0047435,640,6.8,0,0,7,65,6.8,256,6.7,202
tt0047437,54829,7.7,8.4,18,7.7,10218,7.6,20749,7.7,11271
tt0047440,109,5.8,0,0,0,0,4.2,15,6,74
tt0047443,2740,7.4,0,0,7.4,238,7.4,1013,7.4,923
tt0047444,7001,7.5,7,2,7.4,755,7.5,3268,7.5,1581
tt0047445,12963,8.4,7.9,5,8.6,2321,8.4,5533,8.4,2803
tt0047449,826,6.4,0,0,7,28,6.3,172,6.4,465
tt0047451,107,6.8,0,0,8.3,3,5.5,11,6.7,68
tt0047463,373,6.4,0,0,6.8,10,5.9,56,6.5,219
tt0047464,1116,6.2,9,1,6.6,54,6.1,311,6.2,530
tt0047467,136,5.6,0,0,6,3,5.6,17,5.5,85
tt0047469,5547,7.5,8,2,7.8,787,7.4,2210,7.6,1546
tt0047472,19864,7.4,5.8,6,7.4,2390,7.3,6839,7.4,5819
tt0047476,562,5.9,0,0,5.6,15,5.7,107,5.9,300
tt0047478,292222,8.6,9.1,150,8.6,51724,8.6,124249,8.7,41196
