id,title,year,genre
tt0012313,Das indische Grabmal zweiter Teil - Der Tiger von Eschnapur,1921,"Adventure, Fantasy"
tt0012314,Das indische Grabmal erster Teil - Die Sendung des Yoghi,1921,"Adventure, Fantasy"
tt0012334,Johan,1921,Drama
tt0012349,The Kid,1921,"Comedy, Drama, Family"
tt0012364,Körkarlen,1921,"Drama, Fantasy, Horror"
tt0012382,Leap Year,1924,Comedy
tt0012397,Little Lord Fauntleroy,1921,Drama
tt0012408,The Love Light,1921,Drama
tt0012465,Miss Lulu Bett,1921,"Comedy, Drama"
tt0012486,My Boy,1921,"Comedy, Drama"
tt0012494,Der müde Tod,1921,"Drama, Fantasy, Thriller"
tt0012513,The Nut,1921,"Action, Comedy, Romance"
tt0012532,Orphans of the Storm,1921,"Drama, History, Romance"
tt0012538,Outside the Law,1920,"Crime, Romance, Thriller"
tt0012631,Rojô no reikion,1921,Drama
tt0012642,A Sailor-Made Man,1921,Comedy
tt0012645,Sappho,1921,Drama
tt0012650,Scherben,1921,Drama
tt0012651,Schlo? Vogelöd,1921,"Crime, Drama, Horror"
tt0012675,The Sheik,1921,"Adventure, Drama, Romance"
tt0012745,La terre,1921,Drama
tt0012752,The Three Musketeers,1921,"Action, Adventure, Romance"
tt0012755,Through the Back Door,1921,"Comedy, Drama"
tt0012763,Tol'able David,1921,Drama
tt0012769,Too Wise Wives,1921,Drama
tt0012806,Vier um die Frau,1921,Drama
tt0012928,Beauty's Worth,1922,"Drama, Romance"
tt0012938,Beyond the Rocks,1922,"Drama, Romance"
tt0012952,Blood and Sand,1922,"Drama, Romance, Sport"
tt0012973,Der brennende Acker,1922,Drama
tt0012975,The Bride's Play,1922,Romance
tt0013033,Crainquebille,1922,Drama
tt0013059,Der var engang,1922,"Drama, Family, Fantasy"
tt0013075,Dr. Jack,1922,Comedy
tt0013085,Down to the Sea in Ships,1922,"Adventure, Drama, Romance"
tt0013086,"Dr. Mabuse, der Spieler",1922,"Crime, Mystery, Thriller"
tt0013122,La femme de nulle part,1922,Drama
tt0013134,Flesh and Blood,1922,Drama
tt0013140,Foolish Wives,1922,"Drama, Thriller"
tt0013169,Die Gezeichneten,1922,Drama
tt0013201,Grandma's Boy,1922,"Comedy, Family"
tt0013223,The Headless Horseman,1922,"Comedy, Drama, Horror"
tt0013332,Lorna Doone,1922,"Drama, Romance"
tt0013367,The Man from Beyond,1922,Mystery
tt0013372,Manslaughter,1922,Drama
tt0013386,Merry-Go-Round,1923,Drama
tt0013402,Monte Cristo,1922,"Drama, Romance"
tt0013404,Moran of the Lady Letty,1922,Adventure
tt0013428,Nathan der Weise,1922,"Drama, History"
tt0013442,"Nosferatu, eine Symphonie des Grauens",1922,"Fantasy, Horror"
tt0013450,Oliver Twist,1922,Drama
tt0013469,Othello,1922,"Drama, Romance"
tt0013496,Phantom,1922,"Drama, Romance"
tt0013515,The Prisoner of Zenda,1922,"Adventure, Romance"
tt0013556,Robin Hood,1922,"Adventure, Family, Romance"
tt0013571,Salomé,1922,"Biography, Drama, History"
tt0013579,Schatten - Eine nächtliche Halluzination,1923,"Drama, Fantasy, Horror"
tt0013592,Shadows,1922,Drama
tt0013597,Sherlock Holmes,1922,"Drama, Mystery"
tt0013607,Sky High,1922,"Action, Drama, Romance"
tt0013619,Sodom und Gomorrha,1922,Drama
tt0013626,La souriante Madame Beudet,1923,Drama
tt0013662,Tess of the Storm Country,1922,"Drama, Romance"
tt0013674,The Three Must-Get-Theres,1922,"Action, Adventure, Comedy"
tt0013688,The Toll of the Sea,1922,"Drama, Family, Fantasy"
tt0013704,The Trap,1922,Drama
tt0013705,Trapped by the Mormons,1922,"Drama, Crime"
tt0013741,Das Weib des Pharao,1922,"Drama, History"
tt0013750,When Knighthood Was in Flower,1922,"Romance, Drama"
tt0013802,The Young Rajah,1922,"Romance, Drama"
tt0013830,Das alte Gesetz,1923,Drama
tt0013909,Cameo Kirby,1923,Drama
tt0013933,Coeur fidèle,1923,"Drama, Romance"
tt0013951,The Covered Wagon,1923,"Adventure, Romance, Western"
tt0014029,The Extra Girl,1923,"Comedy, Romance"
tt0014108,Gunnar Hedes saga,1923,Drama
tt0014109,Gösta Berlings saga,1924,"Drama, Romance"
tt0014112,Haldane of the Secret Service,1923,"Adventure, Crime, Drama"
tt0014142,The Hunchback of Notre Dame,1923,"Drama, Horror, Romance"
tt0014205,Little Old New York,1923,"Comedy, Romance"
tt0014341,Our Hospitality,1923,"Comedy, Romance, Thriller"
tt0014358,The Pilgrim,1923,Comedy
tt0014397,Raskolnikow,1923,Drama
tt0014416,Rosita,1923,"Romance, Comedy"
tt0014417,La roue,1923,Drama
tt0014429,Safety Last!,1923,"Action, Comedy, Thriller"
tt0014440,Scaramouche,1923,"Drama, Romance"
tt0014446,Der Schatz,1923,"Drama, Romance"
tt0014463,The Shock,1923,Drama
tt0014497,Souls for Sale,1923,"Comedy, Drama, Romance"
tt0014516,Die Stra?e,1923,Drama
tt0014524,Sylvester,1924,Drama
tt0014532,The Ten Commandments,1923,"Biography, Drama, Fantasy"
tt0014538,Three Ages,1923,Comedy
tt0014586,Das Wachsfigurenkabinett,1924,"Fantasy, Horror"
tt0014604,The White Rose,1923,"Drama, Romance"
tt0014605,The White Sister,1923,"Drama, Romance"
tt0014606,White Tiger,1923,"Crime, Drama, Mystery"
tt0014611,Why Worry?,1923,"Adventure, Comedy, Family"
tt0014624,A Woman of Paris: A Drama of Fate,1923,"Drama, Romance"
tt0014636,Zaza,1923,"Romance, Drama"
tt0014646,Aelita,1924,"Adventure, Drama, Fantasy"
tt0014672,America,1924,"Drama, History, War"
tt0014702,Beau Brummel,1924,"Drama, History, Romance"
tt0014721,Black Oxen,1923,"Drama, Romance, Sci-Fi"
tt0014760,Captain January,1924,Drama
tt0014770,The Chechahcos,1923,"Adventure, Drama"
tt0014854,Dorothy Vernon of Haddon Hall,1924,"Drama, History, Romance"
tt0014869,The Enchanted Cottage,1924,Drama
tt0014874,The Family Secret,1924,Drama
tt0014898,La fille de l'eau,1925,"Drama, Romance"
tt0014900,Die Finanzen des Gro?herzogs,1924,Comedy
tt0014925,Forbidden Paradise,1924,Comedy
tt0014945,Girl Shy,1924,"Comedy, Romance"
tt0014972,He Who Gets Slapped,1924,"Drama, Romance, Thriller"
tt0014982,Her Night of Romance,1924,"Comedy, Romance"
tt0015002,Hot Water,1924,Comedy
tt0015014,L'inhumaine,1924,"Adventure, Drama, Mystery"
tt0015016,The Iron Horse,1924,"History, Romance, Western"
