id,director
tt0017449,Fred Niblo
tt0017463,John Ford
tt0017480,Monta Bell
tt0017483,Harry Edwards
tt0017519,Cecil B. DeMille
tt0017534,Edward Sedgwick
tt0017540,Raoul Walsh
tt0017567,Henry King
tt0017619,Frank Urson
tt0017621,Henrik Galeen
tt0017632,John S. Robertson
tt0017653,Ivan Pravov
tt0017662,Rowland V. Lee
tt0017667,Alan Crosland
tt0017735,John S. Robertson
tt0017736,Alexandre Volkoff
tt0017739,Paul Leni
tt0017750,Frank Urson
tt0017751,Frank Lloyd
tt0017765,James W. Horne
tt0017809,Boris Barnet
tt0017825,Alfred Hitchcock
tt0017832,Millard Webb
tt0017843,Alfred Hitchcock
tt0017860,Sam Wood
tt0017886,Roy Del Ruth
tt0017918,F. Richard Jones
tt0017925,Clyde Bruckman
tt0017928,Dorothy Arzner
tt0017938,Jean Epstein
tt0017961,Aleksandr Medvedkin
tt0017998,Maurice Elvey
tt0018014,Mauritz Stiller
tt0018016,Victor Fleming
tt0018033,Clarence G. Badger
tt0018037,Alan Crosland
tt0018045,Raymond Bernard
tt0018051,Ted Wilde
tt0018054,Cecil B. DeMille
tt0018066,Vsevolod Pudovkin
tt0018087,Georg Wilhelm Pabst
tt0018097,Tod Browning
tt0018102,Frank Capra
tt0018107,Edmund Goulding
tt0018113,Albert Parker
tt0018138,Monta Bell
tt0018166,Benjamin Christensen
tt0018179,William Nigh
tt0018183,Sam Taylor
tt0018192,Abel Gance
tt0018217,Grigoriy Aleksandrov
tt0018218,Alan Crosland
tt0018235,Alfred Santell
tt0018247,Howard Hawks
tt0018253,Alfred Santell
tt0018297,Sidney Franklin
tt0018311,Roscoe 'Fatty' Arbuckle
tt0018328,Alfred Hitchcock
tt0018351,Gregory La Cava
tt0018362,Frank Peregini
tt0018379,Frank Borzage
tt0018389,William K. Howard
tt0018392,Anthony Asquith
tt0018397,Tod Browning
tt0018413,Edward Sedgwick
tt0018440,Edward Sedgwick
tt0018451,Ernst Lubitsch
tt0018455,F.W. Murnau
tt0018464,J.P. McGowan
tt0018471,George W. Hill
tt0018487,Hobart Henley
tt0018505,Abram Room
tt0018513,Jack Conway
tt0018515,Lewis Milestone
tt0018523,René Clair
tt0018524,Harry A. Pollard
tt0018526,Josef von Sternberg
tt0018528,Tod Browning
tt0018530,John Ford
tt0018566,Alan Crosland
tt0018578,William A. Wellman
tt0018579,W.S. Van Dyke
tt0018588,Curtis Bernhardt
tt0018615,Georg Wilhelm Pabst
tt0018618,William Nigh
tt0018678,D.W. Griffith
tt0018684,William A. Wellman
tt0018722,Jack Conway
tt0018737,Georg Wilhelm Pabst
tt0018742,Edward Sedgwick
tt0018749,Robert Z. Leonard
tt0018756,Alfred Hitchcock
